"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"23","F1265",-36.0934697989849,-7.99591944921593,"TAQUARITINGA DO NORTE",0.539,0.406,0.656,0.555,0.385,0.255,0.495,0.406,5,4,9,5,0,0.000224532959385,1,0,0,17961,6942,24903,4488,2395.28,1
"24","F1237",-36.077120126244,-8.00521831797001,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,0,0,0,0,0,0,1,0,0,34125,1429,35554,346,5105.25,1
"25","F1233",-36.0751204338386,-8.00551989668789,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,7,9,16,5,0,0.000399182394833,1,0,0,34125,1429,35554,346,5105.25,1
"26","F1234",-36.0752559000102,-8.00549907167611,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,7,9,16,5,0,0.000399182394833,1,0,0,34125,1429,35554,346,5105.25,1
"27","F1235",-36.075390026255,-8.00547677809617,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,7,9,16,5,0,0.000399182394833,1,0,0,34125,1429,35554,346,5105.25,1
"28","F1236",-36.0755027761273,-8.00545842081974,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,7,9,16,5,0,0.000399182394833,1,0,0,34125,1429,35554,346,5105.25,1
"29","F1402",-36.066182087803,-8.00760146381967,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,43,47,90,32,0.001,0.002245440757532,1,0,0,34125,1429,35554,346,5105.25,1
"30","F1405",-36.0659895140558,-8.00763062767288,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,43,47,90,32,0.001,0.002245440757532,1,0,0,34125,1429,35554,346,5105.25,1
"31","F1406",-36.0658396884051,-8.00765412871546,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,43,47,90,32,0.001,0.002245440757532,1,0,0,34125,1429,35554,346,5105.25,1
"32","F1407",-36.0656817024305,-8.0076855472396,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,43,47,90,32,0.001,0.002245440757532,1,0,0,34125,1429,35554,346,5105.25,1
"33","F1230",-36.0719904184379,-8.00594424245,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,31,27,58,16,0,0.001447045568194,1,0,0,34125,1429,35554,346,5105.25,1
